"physician_id","physician_name","specialty","hospital","years_experience"
"P0429","Dr. Ayesha Johnson","Orthopedics","General Hospital",14
"P0430","Dr. Jennifer Ahmed","Internal Medicine","Metro Clinic",19
"P0431","Dr. Mary Chowdhury","Orthopedics","Metro Clinic",18
"P0432","Dr. Mary Miah","Pediatrics","Metro Clinic",14
"P0433","Dr. Elizabeth Chowdhury","Internal Medicine","Metro Clinic",10
"P0434","Dr. Mary Chowdhury","Neurology","General Hospital",22
"P0435","Dr. Joseph Brown","Orthopedics","City Hospital",5
"P0436","Dr. Joseph Brown","Internal Medicine","City Hospital",18
"P0437","Dr. Hasan Williams","Orthopedics","Metro Clinic",32
"P0438","Dr. Robert Uddin","Internal Medicine","City Hospital",15
"P0439","Dr. Tanvir Miah","Cardiology","City Hospital",25
"P0440","Dr. Sarah Jones","Orthopedics","Metro Clinic",30
"P0441","Dr. Jessica Martinez","Neurology","Metro Clinic",21
"P0442","Dr. Tanvir Garcia","Neurology","City Hospital",10
"P0443","Dr. James Jones","Pediatrics","General Hospital",24
"P0444","Dr. Thomas Hossain","Internal Medicine","Metro Clinic",7
"P0445","Dr. Farhana Khan","Orthopedics","General Hospital",22
"P0446","Dr. John Ali","Pediatrics","City Hospital",10
"P0447","Dr. Linda Islam","Orthopedics","Metro Clinic",26
"P0448","Dr. Imran Rodriguez","Internal Medicine","General Hospital",14
"P0449","Dr. Farhana Rahman","Neurology","Metro Clinic",3
"P0450","Dr. Nusrat Rahman","Cardiology","City Hospital",27
"P0451","Dr. Hasan Ahmed","Neurology","General Hospital",32
"P0452","Dr. Barbara Ali","Pediatrics","City Hospital",23
"P0453","Dr. Farhana Brown","Cardiology","City Hospital",22
"P0454","Dr. James Davis","Pediatrics","Metro Clinic",8
"P0455","Dr. Susan Williams","Internal Medicine","General Hospital",24
"P0456","Dr. Tanvir Sarker","Cardiology","City Hospital",20
"P0457","Dr. Elizabeth Rahman","Pediatrics","City Hospital",10
"P0458","Dr. Hasan Khan","Internal Medicine","General Hospital",9
"P0459","Dr. Farhana Khan","Neurology","City Hospital",34
"P0460","Dr. Hasan Johnson","Internal Medicine","City Hospital",3
"P0461","Dr. Jennifer Khan","Orthopedics","General Hospital",23
"P0462","Dr. Imran Miah","Internal Medicine","General Hospital",18
"P0463","Dr. Richard Williams","Internal Medicine","General Hospital",14
"P0464","Dr. Elizabeth Khan","Orthopedics","General Hospital",8
"P0465","Dr. Mary Rahman","Pediatrics","Metro Clinic",22
"P0466","Dr. Sadia Islam","Pediatrics","General Hospital",4
"P0467","Dr. Jessica Garcia","Internal Medicine","Metro Clinic",31
"P0468","Dr. Robert Miah","Orthopedics","Metro Clinic",16
"P0469","Dr. Elizabeth Jones","Orthopedics","Metro Clinic",6
"P0470","Dr. Sadia Martinez","Neurology","City Hospital",3
"P0471","Dr. Richard Ali","Pediatrics","Metro Clinic",25
"P0472","Dr. Richard Hossain","Cardiology","Metro Clinic",20
"P0473","Dr. Nusrat Ali","Pediatrics","City Hospital",15
"P0474","Dr. Jennifer Sarker","Pediatrics","City Hospital",4
"P0475","Dr. Nusrat Brown","Neurology","City Hospital",11
"P0476","Dr. Charles Williams","Cardiology","General Hospital",23
"P0477","Dr. Thomas Islam","Neurology","City Hospital",4
"P0478","Dr. Jessica Rahman","Cardiology","City Hospital",29
"P0479","Dr. Michael Rahman","Internal Medicine","Metro Clinic",27
"P0480","Dr. Rahim Johnson","Cardiology","City Hospital",11
"P0481","Dr. Elizabeth Davis","Neurology","General Hospital",3
"P0482","Dr. Joseph Ali","Pediatrics","City Hospital",13
"P0483","Dr. Patricia Miah","Cardiology","General Hospital",5
"P0484","Dr. Charles Rodriguez","Cardiology","City Hospital",22
"P0485","Dr. William Garcia","Orthopedics","City Hospital",32
"P0486","Dr. Karen Johnson","Pediatrics","City Hospital",25
"P0487","Dr. Imran Islam","Internal Medicine","City Hospital",28
"P0488","Dr. David Jones","Neurology","General Hospital",6
"P0489","Dr. Nusrat Smith","Internal Medicine","General Hospital",20
"P0490","Dr. Ayesha Garcia","Pediatrics","Metro Clinic",25
"P0491","Dr. David Chowdhury","Cardiology","General Hospital",8
"P0492","Dr. Michael Ahmed","Cardiology","City Hospital",5
"P0493","Dr. Mehedi Rodriguez","Pediatrics","Metro Clinic",24
"P0494","Dr. Karim Williams","Cardiology","Metro Clinic",13
"P0495","Dr. Sarah Davis","Cardiology","Metro Clinic",17
"P0496","Dr. William Brown","Cardiology","City Hospital",24
"P0497","Dr. Hasan Garcia","Neurology","General Hospital",30
"P0498","Dr. John Sarker","Neurology","City Hospital",7
"P0499","Dr. Sadia Ahmed","Orthopedics","Metro Clinic",22
"P0500","Dr. Michael Rahman","Internal Medicine","City Hospital",12
